label,bin_time_s,naive_time_s,naive_cv_pct,naive_stable,naive_mem_kb,naive_D,naive_R2,opt_time_s,opt_total_time_s,opt_cv_pct,opt_stable,opt_mem_kb,opt_D,opt_R2,threshold_sensitivity,method,naive_lacunarity,opt_lacunarity
malignant,0.0017126899999766465,0.26584438388892473,1.332490794119843,True,0.3671875,1.6800731469197392,0.9980560729837092,0.24580479655554022,0.24751748655551686,0.9437904809776256,True,5376.560546875,1.6800731469197392,0.9980560729837092,0.15245765046088766,BC,,
malignant,0.001795839999999771,0.2264055468889031,3.150964837538153,True,0.3671875,1.7627428855375835,0.998744971319798,0.24960988188887415,0.2514057218888739,1.036479482860329,True,5376.5107421875,1.7627428855375835,0.998744971319798,0.13845443146341774,BC,,
malignant,0.001953399999990779,0.20679676044442707,1.9348678919167412,True,0.3671875,1.8180749050728564,0.9994229542922518,0.24976952755557452,0.2517229275555653,1.3992151106537745,True,5376.560546875,1.8180749050728564,0.9994229542922518,0.07689469961709006,BC,,
malignant,0.0017072900000130176,0.22963839544442838,2.7037680638873103,True,0.3671875,1.7700005768291531,0.9990657410556576,0.25453587611109973,0.25624316611111275,2.2198006097449383,True,5376.5107421875,1.7700005768291531,0.9990657410556576,0.10525741827149315,BC,,
malignant,0.0016728499999771884,0.16993265522221968,2.196293356220227,True,0.3671875,1.8600937834620244,0.9991167992150041,0.2535958131111076,0.2552686631110848,2.508373069163065,True,5376.560546875,1.8600937834620244,0.9991167992150041,0.13311150342547884,BC,,
malignant,0.001965638999990915,0.13785735900000873,2.9567192698626124,True,0.3671875,1.908556472748956,0.99967679789961,0.25111494966668285,0.25308058866667377,1.4315766996907164,True,5376.5107421875,1.908556472748956,0.99967679789961,0.0866654093449084,BC,,
malignant,0.0017930110000179411,0.1548631885555475,2.322048891424146,True,0.3671875,1.8743639721325964,0.9993647628074904,0.2505035042222264,0.25229651522224433,0.618127029076716,True,5376.5107421875,1.8743639721325964,0.9993647628074904,0.11910822671942434,BC,,
malignant,0.001794920000008915,0.2318498996666752,2.5206362365659922,True,0.3671875,1.76369472774518,0.9992286394031168,0.25299375522222867,0.2547886752222376,1.8212890850600083,True,5376.5107421875,1.76369472774518,0.9992286394031168,0.1220920921292381,BC,,
malignant,0.0019655890000080944,0.12013725211110998,1.2181036474352143,True,0.3671875,1.9282173385068917,0.9997029652161719,0.24840515188890955,0.25037074088891764,1.6754561691014402,True,5376.560546875,1.9282173385068917,0.9997029652161719,0.07509804173595591,BC,,
malignant,0.0016919000000257256,0.3096620329999824,0.9260595384875799,True,0.3671875,1.6141976913376934,0.9986289981048855,0.24458277977777876,0.24627467977780448,3.1399389659028727,True,5376.560546875,1.6141976913376934,0.9986289981048855,0.16954959838507766,BC,,
